Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
170.16109351938684,173.22204712222216,169.87287852825236,172.67544555664062,52164500,0.0,0.0,
171.19465244741932,172.55618999324432,169.76357086656446,171.3337860107422,49594600,0.0,0.0,
170.03190052575047,173.13261538484517,169.91264751116213,172.5860137939453,53020300,0.0,0.0,
172.7151938850701,174.3649313004983,171.61205804275627,173.82827758789062,48527900,0.0,0.0,
172.7251520422754,176.88924177784276,172.10897606656815,176.392333984375,57224100,0.0,0.0,173.36317138671876
175.71654585737048,177.94269841319462,174.7127974917425,177.88307189941406,42390800,0.0,0.0,174.40469665527343
176.99855858071479,178.60853494693302,176.84947714698436,177.28675842285156,43698000,0.0,0.0,175.5952911376953
177.09792315514355,178.7377278666485,176.50164294003199,178.6880340576172,47551100,0.0,0.0,176.8156951904297
178.95639631715028,181.2123469865742,177.932752218108,179.59243774414062,56743100,0.0,0.0,177.9685272216797
180.29802522104373,180.80486572035005,177.03831125012886,177.74392700195312,51427100,0.0,0.0,178.2388458251953
175.6569128281916,177.97250506879755,175.41839161749283,177.61473083496094,52517000,0.0,0.0,178.1851776123047
175.55750508309643,177.31656279493396,173.71895547455762,176.05441284179688,57549400,0.0,0.0,177.93870849609374
174.4941311237392,176.48176216718392,174.027036615376,174.7525177001953,54764400,0.0,0.0,177.15160522460937
174.9512775869872,176.74014855708347,174.10654349306773,174.3748779296875,59302900,0.0,0.0,176.10809326171875
174.22581676799155,174.33513709455804,171.57233083888437,171.81085205078125,64189300,0.0,0.0,174.92147827148438
169.85302851446286,172.93384778812512,168.87907830418513,171.9300994873047,55980100,0.0,0.0,173.78455200195313
171.9797679248954,172.59592865582925,170.38965712738948,172.3673553466797,43816600,0.0,0.0,173.0471405029297
170.81704513991966,171.9897403716956,169.59464092648332,170.0418701171875,57157000,0.0,0.0,172.10501098632812
169.31635357139493,170.32011700092076,164.64542343181446,165.85787963867188,70625300,0.0,0.0,170.401611328125
165.87777614744527,167.9151012918953,165.7982690745802,167.17967224121094,58499100,0.0,0.0,169.47537536621093
167.97469692197112,170.11139414133623,167.82561550110003,169.23683166503906,51131000,0.0,0.0,168.9367218017578
168.30268134414578,169.84308342389463,166.86163656333878,169.71389770507812,44846000,0.0,0.0,168.4060302734375
169.94244041336344,173.15246004180045,169.06787797265682,172.89407348632812,56934900,0.0,0.0,168.97647094726562
174.43452247323137,176.68054032302643,174.3748959621323,176.4718475341797,77334800,0.0,0.0,171.0992645263672
173.16241138117383,175.72645709024493,172.27791622747424,175.5574951171875,79763700,0.0,0.0,172.7748291015625
175.28918637857382,178.32031158491046,175.12023955979996,178.12155151367188,63841300,0.0,0.0,174.55177307128906
178.07186894277902,181.31171744967662,177.8631761623555,180.695556640625,70530000,0.0,0.0,176.74810485839845
181.22227266382137,182.31546067653568,180.466963136192,181.75892639160156,49340300,0.0,0.0,178.5210754394531
181.8284924326774,182.9813068996389,180.68559549720575,181.28189086914062,53763500,0.0,0.0,179.48308410644532
